title,link,employer,logo,location,type,salary,sector,summary,timestamp
SALES EXECUTIVE,https://www.jobberman.com/listings/sales-executive-vex0pg,Custodian Life Assurance Lagos,--,Lagos,Full Time,"NGN Less than 75,000",Sales,A leading insurance company in Nigeria Required the service of Sales executive,3d
SALES EXECUTIVE,https://www.jobberman.com/listings/sales-executive-759d7j,CUSTODIAN LIFE ASSURANCE COMPANY,--,Abuja,Full Time,"NGN Less than 75,000",Sales,One of the leading insurance company in Nigeria Required the service of Sales executive in order to improve their sales target.,3d
Extra Low Voltage Technician,https://www.jobberman.com/listings/extra-low-voltage-technician-6kz2xd,GBS LTD,--,Lagos,Contract,"NGN Less than 75,000",Engineering & Technology,"ELV Technician with 3 years of experience in the following fields, IP Camera installation, and configuration, LAN installation, Addressable Fire Alarm installation, Burglar Alarm Installation, Audio Video distribution.",3d
Quality Inspector Specialist,https://www.jobberman.com/listings/quality-inspector-specialist-dk4zer,Prorich,--,Abeokuta & Ogun State,Full Time,NGN Confidential,Quality Control & Assurance,"The company is in need of a rigorous and dedicated candidate with strong sense of responsibility, positive and optimistic attitude,with strong organization and coordinating skills also with better communication skill and strong executive ability and persuasive.",3d
Business Development Executive ,https://www.jobberman.com/listings/business-development-executive-jr2dm8,Xcene Research,--,Lagos,Full Time,NGN Confidential,Management & Business Development,Business Development Executive  ( Healthcare & Pharmaceutical ),3d
Administrative/Personal Assistant,https://www.jobberman.com/listings/administrativepersonal-assistant-g9zk5e,Adding And Ripples Consulting,--,Lagos,Full Time,"NGN 75,000 - 150,000",Admin & Office,Administrative/PA role available in a Leadership and Finance oriented NGO located in Lagos Nigeria,3d
MARKETING EXECUTIVE,https://www.jobberman.com/listings/marketing-executive-mpdkmw,MUTUAL BENEFITS LIFE ASSURANCE LTD,--,Lagos,Full Time,"NGN 75,000 - 150,000 Negotiable",Sales,"Mutual Benefits Assurance Plc is looking for a candidate to fill vacant position of Marketing executive. He/She must be vibrant, have good communication skills, goal oriented, ability to work with minimal supervision and self esteem. Experience does not matter as qualified candidate will be given adequate training.",4d
Front desk officer ,https://www.jobberman.com/listings/front-desk-officer-rv5k2m,Duob Recruitment,https://i.roamcdn.net/kazi/ng/hq/f0980fb1ed58ada885a0aed888b33931/-/advertiser-img-ng-jobs-prod/dealer-images/advid215943/adv215943_1604526210.jpg,Lagos,Full Time,"NGN Less than 75,000",Admin & Office,"A Microfinance based in ikoyi Lagos is looking for a Front desk officer. successful applicant will have direct day-to-day contact with our clients; therefore, will need outstanding communication skills, a great attitude and reliable",4d
Writer ,https://www.jobberman.com/listings/writer-for-uk-company-85n20x,DPRecruitment,--,Lagos,Full Time,"NGN Less than 75,000",Marketing & Communications,Writer with understanding of seo and writing for online.,4d
MEDICAL OFFICER,https://www.jobberman.com/listings/medical-officers-q7gkqv,International Facilities Services,--,Lagos,Contract,"NGN 150,000 - 250,000",Medical & Pharmaceutical,IFS Healthcare seeks qualified medical practitioners for its projects,4d
Real estate agent,https://www.jobberman.com/listings/real-estate-agent-w2j9mj,Rentinlekki,https://i.roamcdn.net/kazi/ng/hq/5403556c00274a7bbed8e8a301db1747/-/advertiser-img-ng-jobs-prod/dealer-images/advid218936/adv218936_1608484747.jpg,Lagos,Contract,"NGN Less than 75,000",Estate Agents & Property Management,"We are looking for young, honest, hardworking, loyal and charismatic agents to join our growing real estate firm. Due to Covid-19 constraints we are currently operating a decentralized & ROWE (result only working environment) and remunerations would be commission based.",4d
Product Manager,https://www.jobberman.com/listings/product-manager-vex0mg,Kade Keyo,https://i.roamcdn.net/kazi/ng/hq/fc107ce026bae34ea53c2246b43f262e/-/advertiser-img-ng-jobs-prod/dealer-images/advid212451/adv212451_1601946455.jpg,Lagos,Full Time,"NGN 75,000 - 150,000",Management & Business Development,Our Product is a Financial Partnership product and requires a Product Manager able to build a team to run it as an independent unit of our company. This job will require you to fully understand this product and work to build a team while ensuring its maximum performance in the marketplace.,4d
